Relatório Unificado;;;;;;;;;;;;;;;;
Registro;Tipo;Parcela;Empresa;Emissão;Vencimento;Liquidação;Valor Bruto;Centro de Custos;Valor Líquido;Conta;Observações;Competência;Plano de Contas;Cliente / Fornecedor;Status;Adquirente / Bandeira
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;01/12/2024;20/12/2024;20/12/2024;150;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;150;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;INSS | RECORRÊNCIA (1/7) - Boleto;11/2024;203-0 - INSS;RECEITA FEDERAL;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;01/12/2024;20/12/2024;20/12/2024;155,32;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;155,32;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;INSS ATRASADO  - Boleto;10/2024;203-0 - INSS;RECEITA FEDERAL;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;20/12/2024;20/12/2024;20/12/2024;180,18;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;180,18;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;DESPESAS PESSOAIS / PARTICULARES - LAURO  - PIX;12/2024;425-1 - Outras Despesas;CONTAS PESSOAIS - LAURO;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;01/12/2024;20/12/2024;20/12/2024;4703,61;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;4703,61;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Jurídico em atraso  - Boleto;11/2024;425-8 - Juridico;CONNECT;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;01/12/2024;20/12/2024;26/12/2024;5202,91;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;5202,91;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Simples Nacional | RECORRÊNCIA (1/14) - Boleto;11/2024;205-2 - Simples Nacional;RECEITA FEDERAL;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;23/12/2024;23/12/2024;23/12/2024;1264,82;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;1264,82;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Contas particulares / pessoais - Lauro - PIX;12/2024;425-1 - Outras Despesas;CONTAS PESSOAIS - LAURO;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;01/12/2024;25/12/2024;26/12/2024;1000;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;1000;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Consultoria Financeira | RECORRÊNCIA (1/8) - Boleto;12/2024;425-5 - Consultoria;IFINANCE BELO HORIZONTE;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;01/12/2024;26/12/2024;26/12/2024;1340,81;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;1340,81;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Condomínio - Particular Lauro  - PIX;12/2024;420-8 - Condominio;LELLO;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;25/12/2024;26/12/2024;26/12/2024;4964,24;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;4964,24;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Convênio médico | RECORRÊNCIA (1/1) - Boleto;12/2024;417-4 - Assistencia medica;PORTO SEGURO - SEGURO SAUDE S/A;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;26/12/2024;26/12/2024;26/12/2024;90;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;90;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Contas pessoais e particulares Lauro - PIX;12/2024;425-1 - Outras Despesas;CONTAS PESSOAIS - LAURO;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;01/01/2025;26/12/2024;26/12/2024;2936,5;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;2936,5;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Custas Jurídicas  - PIX;12/2024;424-6 - Custa Processuais;ENGEL SIM;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;26/12/2024;26/12/2024;26/12/2024;47,98;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;47,98;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Uber - Empresa  - PIX;12/2024;422-0 - Uber e Taxi;UBER DO BRASIL TECNOLOGIA LTDA;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;27/12/2024;27/12/2024;27/12/2024;2348,51;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;2348,51;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Pagamento divida Santander  - PIX;12/2024;200-8 - Pagto Empréstimos e Financiamentos;SANTANDER;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;27/12/2024;27/12/2024;27/12/2024;5479,39;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;5479,39;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Simples - Venc 20/12  - PIX;11/2024;205-2 - Simples Nacional;RECEITA FEDERAL;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;27/12/2024;27/12/2024;27/12/2024;2871,26;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;2871,26;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Compra de produtos - Empresa  - PIX;12/2024;400-0 - Custo de Mercadorias Vendidas;CASA MIMOSA HIDRAULICA E ACABAMENTOS LTDA;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;27/12/2024;27/12/2024;27/12/2024;1119,4;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;1119,4;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Compra de produtos - Empresa  - PIX;12/2024;400-0 - Custo de Mercadorias Vendidas;D M A DE MEL;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;30/12/2024;30/12/2024;30/12/2024;5225;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;5225;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Compra de produtos - Empresa - PIX;12/2024;400-0 - Custo de Mercadorias Vendidas;MJF MATERIAL;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;30/12/2024;30/12/2024;30/12/2024;1004,4;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;1004,4;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Pag de dívida  - PIX;12/2024;200-8 - Pagto Empréstimos e Financiamentos;SUPPLIERCARD;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;30/12/2024;30/12/2024;30/12/2024;416,68;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;416,68;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;inss atrasado - Boleto;09/2024;203-0 - INSS;RECEITA FEDERAL;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;30/12/2024;30/12/2024;30/12/2024;380,72;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;380,72;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;inss - Boleto;11/2024;203-0 - INSS;RECEITA FEDERAL;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;30/12/2024;30/12/2024;30/12/2024;132,48;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;132,48;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Claro - Boleto;12/2024;420-7 - Telefonia;CLARO;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;30/12/2024;30/12/2024;30/12/2024;112,97;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;112,97;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Inss - atrasado  - Boleto;10/2024;203-0 - INSS;RECEITA FEDERAL;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;31/12/2024;31/12/2024;31/12/2024;13,3;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;13,3;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Despesa pessoal - Lauro  - PIX;12/2024;425-1 - Outras Despesas;CONTAS PESSOAIS - LAURO;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;02/01/2025;02/01/2025;02/01/2025;44;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;44;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;contas pessoais - Lauro - PIX;01/2025;425-1 - Outras Despesas;CONTAS PESSOAIS - LAURO;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;02/01/2025;02/01/2025;02/01/2025;104,13;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;104,13;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Telefonia  - Boleto;01/2025;420-7 - Telefonia;CLARO;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;03/01/2025;03/01/2025;03/01/2025;9,6;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;9,6;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;TAR PIX PGTO TRANSF - Débito Automático;01/2025;431-5 - Despesas Bancarias;ITAU UNIBANCO;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;03/01/2025;03/01/2025;03/01/2025;139;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;139;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;TAR PLANO ADAPT 1 12/24 - Débito Automático;01/2025;431-5 - Despesas Bancarias;ITAU UNIBANCO;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;01/01/2025;03/01/2025;06/01/2025;127,32;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;127,32;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Pagamento anual locaweb  - Boleto;01/2025;426-6 - Hospedagem de Dados;LOCAWEB;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;01/01/2025;03/01/2025;06/01/2025;2156,19;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;2156,19;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Acordo financeiro  - Boleto;01/2025;200-8 - Pagto Empréstimos e Financiamentos;TRADEMASTER;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;03/01/2025;03/01/2025;03/01/2025;1380;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;1380;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Compra de Mercadoria - Empresa  - PIX;01/2025;400-0 - Custo de Mercadorias Vendidas;DVA LIMA;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;22/11/2024;06/01/2025;07/01/2025;4511,72;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;4520,74;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Compra de material - Empresa  - Boleto;11/2024;400-0 - Custo de Mercadorias Vendidas;CASA MIMOSA HIDRAULICA E ACABAMENTOS LTDA;Liquidado (Conciliado);
